Rolled 1, 1, 1, 1, dropping 1; score: 3
Rolled 1, 1, 1, 2, dropping 1; score: 4
Rolled 1, 1, 1, 3, dropping 1; score: 5
Rolled 1, 1, 1, 4, dropping 1; score: 6
Rolled 1, 1, 1, 5, dropping 1; score: 7
Rolled 1, 1, 1, 6, dropping 1; score: 8
Rolled 1, 1, 2, 1, dropping 1; score: 4
Rolled 1, 1, 2, 2, dropping 1; score: 5
Rolled 1, 1, 2, 3, dropping 1; score: 6
Rolled 1, 1, 2, 4, dropping 1; score: 7
Rolled 1, 1, 2, 5, dropping 1; score: 8
Rolled 1, 1, 2, 6, dropping 1; score: 9
Rolled 1, 1, 3, 1, dropping 1; score: 5
Rolled 1, 1, 3, 2, dropping 1; score: 6
Rolled 1, 1, 3, 3, dropping 1; score: 7
Rolled 1, 1, 3, 4, dropping 1; score: 8
Rolled 1, 1, 3, 5, dropping 1; score: 9
Rolled 1, 1, 3, 6, dropping 1; score: 10
Rolled 1, 1, 4, 1, dropping 1; score: 6
Rolled 1, 1, 4, 2, dropping 1; score: 7
Rolled 1, 1, 4, 3, dropping 1; score: 8
Rolled 1, 1, 4, 4, dropping 1; score: 9
Rolled 1, 1, 4, 5, dropping 1; score: 10
Rolled 1, 1, 4, 6, dropping 1; score: 11
Rolled 1, 1, 5, 1, dropping 1; score: 7
Rolled 1, 1, 5, 2, dropping 1; score: 8
Rolled 1, 1, 5, 3, dropping 1; score: 9
Rolled 1, 1, 5, 4, dropping 1; score: 10
Rolled 1, 1, 5, 5, dropping 1; score: 11
Rolled 1, 1, 5, 6, dropping 1; score: 12
Rolled 1, 1, 6, 1, dropping 1; score: 8
Rolled 1, 1, 6, 2, dropping 1; score: 9
Rolled 1, 1, 6, 3, dropping 1; score: 10
Rolled 1, 1, 6, 4, dropping 1; score: 11
Rolled 1, 1, 6, 5, dropping 1; score: 12
Rolled 1, 1, 6, 6, dropping 1; score: 13
Rolled 1, 2, 1, 1, dropping 1; score: 4
Rolled 1, 2, 1, 2, dropping 1; score: 5
Rolled 1, 2, 1, 3, dropping 1; score: 6
Rolled 1, 2, 1, 4, dropping 1; score: 7
Rolled 1, 2, 1, 5, dropping 1; score: 8
Rolled 1, 2, 1, 6, dropping 1; score: 9
Rolled 1, 2, 2, 1, dropping 1; score: 5
Rolled 1, 2, 2, 2, dropping 1; score: 6
Rolled 1, 2, 2, 3, dropping 1; score: 7
Rolled 1, 2, 2, 4, dropping 1; score: 8
Rolled 1, 2, 2, 5, dropping 1; score: 9
Rolled 1, 2, 2, 6, dropping 1; score: 10
Rolled 1, 2, 3, 1, dropping 1; score: 6
Rolled 1, 2, 3, 2, dropping 1; score: 7
Rolled 1, 2, 3, 3, dropping 1; score: 8
Rolled 1, 2, 3, 4, dropping 1; score: 9
Rolled 1, 2, 3, 5, dropping 1; score: 10
Rolled 1, 2, 3, 6, dropping 1; score: 11
Rolled 1, 2, 4, 1, dropping 1; score: 7
Rolled 1, 2, 4, 2, dropping 1; score: 8
Rolled 1, 2, 4, 3, dropping 1; score: 9
Rolled 1, 2, 4, 4, dropping 1; score: 10
Rolled 1, 2, 4, 5, dropping 1; score: 11
Rolled 1, 2, 4, 6, dropping 1; score: 12
Rolled 1, 2, 5, 1, dropping 1; score: 8
Rolled 1, 2, 5, 2, dropping 1; score: 9
Rolled 1, 2, 5, 3, dropping 1; score: 10
Rolled 1, 2, 5, 4, dropping 1; score: 11
Rolled 1, 2, 5, 5, dropping 1; score: 12
Rolled 1, 2, 5, 6, dropping 1; score: 13
Rolled 1, 2, 6, 1, dropping 1; score: 9
Rolled 1, 2, 6, 2, dropping 1; score: 10
Rolled 1, 2, 6, 3, dropping 1; score: 11
Rolled 1, 2, 6, 4, dropping 1; score: 12
Rolled 1, 2, 6, 5, dropping 1; score: 13
Rolled 1, 2, 6, 6, dropping 1; score: 14
Rolled 1, 3, 1, 1, dropping 1; score: 5
Rolled 1, 3, 1, 2, dropping 1; score: 6
Rolled 1, 3, 1, 3, dropping 1; score: 7
Rolled 1, 3, 1, 4, dropping 1; score: 8
Rolled 1, 3, 1, 5, dropping 1; score: 9
Rolled 1, 3, 1, 6, dropping 1; score: 10
Rolled 1, 3, 2, 1, dropping 1; score: 6
Rolled 1, 3, 2, 2, dropping 1; score: 7
Rolled 1, 3, 2, 3, dropping 1; score: 8
Rolled 1, 3, 2, 4, dropping 1; score: 9
Rolled 1, 3, 2, 5, dropping 1; score: 10
Rolled 1, 3, 2, 6, dropping 1; score: 11
Rolled 1, 3, 3, 1, dropping 1; score: 7
Rolled 1, 3, 3, 2, dropping 1; score: 8
